accession,organism,taxonomic_group
A0A7K7FBC0,Chionis minor,other vertebrate
Q8MVZ8,Chlamydaster sterni,other
A0A3B0PTF1,Chlamydia poikilotherma,bacteria
A0A850VD55,Chloropsis hardwickii,other vertebrate
A0A7L0UDH9,Chordeiles acutipennis,other vertebrate
A0A8C3HB42,Chrysemys picta bellii,other vertebrate
A0A9B0WXA0,Chrysochloris asiatica,mammal
A0A7K5GTF1,Chunga burmeisteri,other vertebrate
A0A7L0APR9,Ciconia maguari,other vertebrate
A0A7L2JU97,Cinclus mexicanus,other vertebrate
A0A7L1R022,Cisticola juncidis,other vertebrate
K9LMJ3,Citrobacter freundii,bacteria
A0A8J4TBR9,Clarias magur,other vertebrate
A0A7K6QE08,Climacteris rufus,other vertebrate
A0A7K8AJW7,Cnemophilus loriae,other vertebrate
A0A7K8PV46,Cochlearius cochlearius,other vertebrate
A0A2I0LUW2,Columba livia,other vertebrate
A0A7K4S489,Columbina picui,other vertebrate
Q86ZU9,Coprinopsis cinerea,fungi
A0A851LZY9,Corythaeola cristata,other vertebrate
A0A7L0FXC9,Corythaixoides concolor,other vertebrate
A0A6J2QEE1,Cottoperca gobio,other vertebrate
A0A8C2SLL9,Coturnix japonica,other vertebrate
A0A9J7CH09,Cricetulus griseus,mammal
A0A7M4FRM0,Crocodylus porosus,other vertebrate
A0A6G1B3X5,Crocuta crocuta,mammal
A0A7K5I1W7,Crotophaga sulcirostris,other vertebrate
Q07801,Cryptococcus deneoformans (strain JEC21 / ATCC MYA-565),fungi
A0A8C0U1E3,Cyanistes caeruleus,other vertebrate
A0A8C2W962,Cyclopterus lumpus,other vertebrate
A0A8C1QPU9,Cyprinus carpio,other vertebrate
A0A8M1P929,Danio rerio,other vertebrate
A0A7K6F5A8,Daphoenositta chrysoptera,other vertebrate
A0A7K6HYZ8,Dasyornis broadbenti,other vertebrate
A0A2Y9PRJ5,Delphinapterus leucas,mammal
A0AAY4CQA7,Denticeps clupeoides,other vertebrate
A0ACM7ZIX0,Dermacentor variabilis,invertebrate
A0A7K9JS96,Dicaeum eximium,other vertebrate
A0A7L0A7M9,Dicrurus megarhynchus,other vertebrate
Q8MVZ6,Diplonema ambulator,other
A0A1S3F460,Dipodomys ordii,mammal
A0A851JWR4,Donacobius atricapilla,other vertebrate
A0A7K5X3F9,Dromas ardeola,other vertebrate
P17719,Drosophila melanogaster,invertebrate
A0A6I8UQM2,Drosophila pseudoobscura pseudoobscura,invertebrate
A0A7L3JUI3,Drymodes brunneopygia,other vertebrate
A0A851E153,Dryoscopus gambensis,other vertebrate
A0A665TRL7,Echeneis naucrates,other vertebrate
A0ABM0IML7,Echinops telfairi,mammal
A0A1W0E362,Ecytonucleospora hepatopenaei,fungi
A0A7K9P0T3,Edolisoma coerulescens,other vertebrate
A0A4W4GEK6,Electrophorus electricus,other vertebrate
A0A7K4VM40,Emberiza fucata,other vertebrate
O62583,Encephalitozoon cuniculi (strain GB-M1),fungi
A0A8C4L660,Equus asinus,mammal
A0ABM3Y7N1,Erinaceus europaeus,mammal
A0A8C4S280,Erpetoichthys calabaricus,other vertebrate
A0A7L2X791,Erpornis zantholeuca,other vertebrate
A0A7K5Q029,Erythrocercus mccallii,other vertebrate
Q79DQ2,Escherichia coli,bacteria
Q6QGJ4,Escherichia phage T5,other
A0AA97L5H6,Eublepharis macularius,other vertebrate
A0A7K8X236,Eubucco bourcierii,other vertebrate
A0A8J4JAA0,Eudyptes sclateri,other vertebrate
A0A8J4JKV5,Eudyptula minor,other vertebrate
A0A7K8DDZ4,Eulacestoma nigropectus,other vertebrate
A0A4C1ZMN6,Eumeta variegata,invertebrate
A0A7K6L4A8,Falcunculus frontatus,other vertebrate
A0ABI7YZ00,Felis catus,mammal
A0A803VFD4,Ficedula albicollis,other vertebrate
A0A9R1U7Y3,Fopius arisanus,invertebrate
A0A7L0MYR9,Formicarius rufipectus,other vertebrate
A0A7K9SSK3,Galbula dea,other vertebrate
A0ABM0Q8Z2,Galeopterus variegatus,mammal
P00378,Gallus gallus,other vertebrate
A0ABM1LCB4,Gekko japonicus,other vertebrate
A0A8N5EVC0,Geospiza fortis,other vertebrate
A0A6P8P774,Geotrypetes seraphini,other vertebrate
A0A7L4LX18,Glareola pratincola,other vertebrate
A0A7L0S6Y1,Glaucidium brasilianum,other vertebrate
A0A8C4WMF9,Gopherus evgoodei,other vertebrate
A0A2I2Z6I4,Gorilla gorilla gorilla,mammal
A0A8C5EUQ6,Gouania willdenowi,other vertebrate
A0A7K8ZJK2,Grallaria varia,other vertebrate
A0A7K6EDF1,Grantiella picta,other vertebrate
A0A850TG25,Grus americana,other vertebrate
A0A6P8TJJ5,Gymnodraco acuticeps,other vertebrate
A0A7L1AIK7,Gymnorhina tibicen,other vertebrate
Q8MTJ0,Haematobia irritans exigua,invertebrate
A0A851YWV7,Halcyon senegalensis,other vertebrate
A0A7K7NUE2,Haliaeetus albicilla,other vertebrate
Q6WEA2,Hartmannella cantabrigiensis,other
A0A7L2ATX5,Heliornis fulica,other vertebrate
Q9U8B8,Heliothis virescens,invertebrate
A0A7L1RID2,Helopsaltes ochotensis,other vertebrate
A0A0P6JW70,Heterocephalus glaber,mammal
A0A7L2M5L2,Hippolais icterina,other vertebrate
A0A8B7S5A1,Hipposideros armiger,mammal
A0A8J5NAJ2,Homarus americanus,invertebrate
T2MI23,Hydra vulgaris,invertebrate
A0A7K5WQ38,Hylia prasina,other vertebrate
A0A7L2PRW9,Hypocryptadius cinnamomeus,other vertebrate
A0A2D0PQ12,Ictalurus punctatus,other vertebrate
I3N257,Ictidomys tridecemlineatus,mammal
A0A7K6PM80,Ifrita kowaldi,other vertebrate
A0A7L1BFU9,Illadopsis cleaveri,other vertebrate
A0A7L1GTW9,Indicator maculatus,other vertebrate
A0A7K9QM72,Irena cyanogastra,other vertebrate
A0A7L2YKY5,Jacana jacana,other vertebrate
A0A8C5K955,Jaculus jaculus,mammal
B9V4W1,Klebsiella pneumoniae,bacteria
P00381,Lacticaseibacillus casei,bacteria
Q59487,Lactococcus lactis subsp. lactis (strain IL1403),bacteria
P04753,Mesocricetus auratus,mammal
P00375,Mus musculus,mammal
P47470,Mycoplasmoides genitalium (strain ATCC 33530 / DSM 19775 / NCTC 10195 / G37),bacteria
P78028,Mycoplasmoides pneumoniae (strain ATCC 29342 / M129 / Subtype 1),bacteria
Q920D2,Rattus norvegicus,mammal
P09503,Saimiriine herpesvirus 2 (strain 11),other
P27421,Saimiriine herpesvirus 2 (strain 484-77),other
P22573,Saimiriine herpesvirus 2 (strain 488),other
G4VJD6,Schistosoma mansoni,invertebrate
Q54801,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),bacteria
P00377,Sus scrofa,mammal
